# Constructed from biom file
#OTU ID	CTRL-neg-extraction-PUF	ctrl-PCR-neg-PUF	PUF-BOT-10	PUF-BOT-3	PUF-BOU-7	PUF-IPEX-1	PUF-IPEX-3	PUF-IPEX-8	PUF-JD-10	PUF-JD14	PUF-MBO-4
75d59202786c1b63b228be47313ef3dc	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0
33122a92cc330ce2aa29c597920309e2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0
d6626a1d124518b308f9a8879b48cdbf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	47.0	0.0	32.0
358f1d5de57345da23f9f0e42b7af748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0
2c4dff555b2582367902ad3e38b509f4	0.0	0.0	0.0	0.0	0.0	30.0	81.0	0.0	0.0	0.0	0.0
b4973746d688a7879255e08741b614fc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0
ef02ea12c76f8afba43329dee4c1e951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0
8a2e3047c19eaa566c27bba0ac1b443c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0
d21896a2b40803625279f19284bfe31d	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e07e46d7aafd4deecdc6327a714c759c	0.0	0.0	0.0	0.0	11.0	0.0	0.0	86.0	0.0	7.0	0.0
0ebb0e1b263cd7763337a51a9276e076	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32f572690ba816e1a0504c9650dba2da	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	0.0	0.0	0.0
cc71aa32d19418d8afe27f4faece796a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	58.0	0.0	0.0
dd416ee0ba4cf3fece581c3d5905292c	0.0	0.0	20.0	0.0	0.0	0.0	0.0	24.0	33.0	19.0	0.0
28322f16f318f6f937eec8e15d7e8a06	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	0.0	0.0
