# Constructed from biom file
#OTU ID	PUF-IPEX-3	PUF-BOU-7	PUF-MBO-4	PUF-BOT-3	CTRL-neg-extraction-PUF	PUF-BOT-10	PUF-JD-10	PUF-IPEX-1	ctrl-PCR-neg-PUF	PUF-IPEX-8	PUF-JD14
9a4ec241158e3197e54351e990fec45a	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
31b47e09431662ec4794d5a5b7648594	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
221dc84a13ae04362240dd45cdfb7cdf	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
96c6154a70d005b81deb750bf4f5f705	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0c098df681143c71cf09a46f0b5f094a	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bb4303e096cbd710f62eed505fce3250	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d001a2e8892812f1fedf0e446f32f968	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a193196d629c2a9bffe060dd360b854d	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a1f6d38048d4358acff81fd1db53a7ec	2.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
f270639e95636580be255e5d2ef1061a	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bf6110af65713472ca22f3a1d15ce804	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f7de931681f580c820c7178709708970	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01fa4e4f7c7166276474833ffd52cc72	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ec8b74aaa191002eff4e1e07f1849770	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fdebc32b8e3d963114a4a7e5d2b62d80	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6bce67965fc78c12949a30e970bb9ead	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b251a1b8a594b613388bf6f35e8fd760	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
305f29ed6966a7890f2138c11190e775	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8dcc4da687706b07521f9c1257347c08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a7bda3ef1316b2b51a2b5aafecc02065	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fe18a2262b7e69325d1a7cb5b9d0b542	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f8618f995acd2311ce0df88c92397c97	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8ccbf324af938e1cc8ff9b69b1d3b568	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9b8ffa001ba138ac932d6f7883b2cd0e	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
747733329213f0142d4e0f3b693057c9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
da5013e2cce742d960e3c1d8311a9fbc	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d46f16dcbe5b2caf0763ae63ad39d382	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8c7edff36813952240087e17ab21c049	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14fcf37977a30c03468afa00b5633a8a	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b869400b41ccf842d3a1430785a50c7c	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
